Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
2213,7495,2436,1500,5,2006,4,2846,46,43.4,43,42,58,Male
245,6390,2523,2278,7,1999,1,3622,19,39.4,53,29,53,Male
3117,6341,1244,282,6,2000,5,1980,115,50.25,45,47,36,Male
1831,11116,2997,1781,10,1996,3,6288,39,50.33333333,32,56,32,Male
2767,6206,2234,842,4,2009,3,1205,7,42,35.66666667,53,38,Male
365,5271,2716,2391,12,1994,2,2190,191,38.11111111,39,48,48,Female
744,9104,3816,215,5,1980,2,4544,258,38.25,30,31,34,Female
1120,4769,1355,707,9,2010,4,2294,4,53.42857143,45.66666667,64,39,Male
2672,7878,3647,975,6,1997,1,1559,144,53.75,30,41,30,Male
1158,6596,3272,1967,6,2010,7,2166,7,41.5,39.16666667,36,42,Female
307,10043,4024,3827,9,2010,2,5712,49,40.83333333,55,55,55,Male
556,9582,2878,2478,9,1999,2,6148,26,43.14285714,44.5,44,43,Male
2552,9429,1228,619,12,2004,9,5649,76,38.83333333,32.14285714,40,32,Male
755,3536,1829,1074,4,2010,1,952,43,40.33333333,37,42,37,Male
0,4556,1537,813,9,2009,1,3019,45,56.25,32,32,33,Female
1138,7193,3966,2950,8,2013,2,2089,29,45.4,41,44,41,Male
1174,6978,3500,2432,6,1993,2,2304,133,48.6,40,46,44,Male
665,4563,1360,695,8,2009,1,2538,34,45.2,37,39,37,Male
979,4555,2465,2036,4,2010,4,1111,277,38.25,43,48,17,Male
2164,7074,2169,1175,5,2006,4,2741,166,38.4,37,57,46,Female
1823,10235,4122,2840,11,2005,7,4290,13,45.42857143,33.85714286,20,53,Female
938,6965,3045,1850,4,2008,2,2982,16,41.25,42.5,23,30,Female
2043,5612,1991,1517,6,2003,3,1578,13,50,46.66666667,28,49,Female
701,10827,5080,4672,10,2010,2,5046,47,48.875,29,54,29,Male
1262,3524,1220,434,4,2006,2,1042,49,46.66666667,24,41,12,Male
1152,6650,2104,1573,7,2003,3,3394,249,47,38.33333333,63,50,Male
1604,14678,7415,4201,7,2000,6,5659,203,42.83333333,39,33,64,Female
6765,19338,6837,4214,5,1982,6,5736,13,55.4,44.66666667,61,48,Male
565,6266,2200,680,7,1973,3,3501,195,42.83333333,28,41,34,Female
727,6214,1612,1106,10,2010,2,3875,113,49.44444444,34,43,28,Male
2802,6027,1595,694,4,1998,7,1630,74,26.33333333,27.83333333,18,23,Female
1672,5106,1399,493,5,2002,4,2035,23,40.4,42,48,43,Male
864,9566,3589,2911,9,2013,2,5113,3,41.375,47,37,49,Male
824,6222,2907,2211,5,1991,2,2491,86,38.8,31.5,42,34,Male
499,4496,2192,903,2,2005,4,1805,121,34,24.33333333,43,34,Female
7715,11233,1938,1497,5,2010,9,1580,41,45.2,43.22222222,61,36,Female
1333,6197,2111,1253,7,1994,4,2753,45,48.85714286,31.5,34,28,Male
1501,4268,873,164,5,1982,6,1894,107,19,23,23,19,Female
2105,5157,1236,306,8,1986,6,1816,44,35.42857143,25.5,38,22,Male
397,2096,551,261,5,1993,2,1148,33,37.5,37,58,43,Male
6206,10518,2590,1823,6,1991,9,1722,165,40,48.22222222,25,32,Female
832,1672,840,202,1,2005,2,0,149,43,39,43,39,Male
1493,8641,2638,1342,9,1999,2,4510,122,36.66666667,38.5,46,50,Male
675,7486,4881,4641,5,1997,3,1930,91,49.2,51.5,53,66,Male
2419,10950,4338,2324,11,1999,3,4193,176,47.57142857,34.5,45,41,Male
1154,7091,4782,3967,3,2010,2,1155,67,38,29.5,35,28,Male
962,12645,2812,2313,15,1972,3,8871,690,43.26666667,31.33333333,32,26,Male
2346,16793,5163,4191,16,1974,5,9284,266,40.66666667,29.75,34,28,Male
2850,13906,7899,5528,7,1990,4,3157,96,46.6,28.33333333,36,36,Male
750,7421,2472,1722,12,2010,1,4199,38,42.6,42,40,42,Male
572,3677,1278,472,5,2007,3,1827,73,43.75,23,18,64,Female
783,3296,858,182,5,1988,5,1655,37,54.4,19.66666667,25,44,Female
1774,3788,854,220,5,2002,4,1160,45,24.6,24.25,30,25,Male
661,3053,1040,379,5,1990,1,1352,11,38.2,26,29,26,Male
2015,12708,2884,1633,10,2009,4,7809,350,42.22222222,19.25,20,19,Male
2673,10804,3976,1717,11,1988,6,4155,2,30.88888889,27.2,17,19,Female
1786,4672,2011,929,3,2008,4,875,2,51.33333333,34.33333333,37,52,Male
5216,10118,4241,566,4,2013,5,661,27,38.66666667,33,39,29,Male
1261,8174,2543,944,12,1992,4,4370,40,37.5,28.5,36,36,Female
589,4073,1789,1331,6,2012,3,1695,6,53.16666667,45.66666667,67,50,Female
829,7158,2339,1510,7,2003,1,3990,97,30.4,54,17,54,Male
1733,6833,1501,371,6,1987,5,3599,22,47.8,34.66666667,46,37,Female
1793,12030,8538,7665,5,2007,3,1699,17,38.75,44.5,29,31,Male
1816,6097,2037,471,3,1999,2,2244,69,35,24.5,48,23,Male
1175,11918,4004,285,4,2010,4,6739,33,53,35,34,41,Female
1207,6077,1486,701,10,1981,4,3384,56,51.125,32.5,33,59,Female
2062,6199,1381,416,7,2003,8,2756,7,47.66666667,41.14285714,36,53,Female
2709,8482,4969,2402,4,2007,2,804,15,49.25,27.5,42,30,Male
1027,4167,970,116,6,2003,2,2170,74,39.33333333,28.5,37,31,Male
1400,8229,3943,2829,8,2006,3,2886,0,39.75,34,35,34,Male
5072,9791,3097,2231,4,2005,5,1622,44,54.5,55.6,33,34,Female
2507,7933,2618,491,14,2007,3,2808,8,39.58333333,49.33333333,61,32,Male
649,12004,8058,7523,9,2009,2,3297,38,43.5,40,39,32,Male
2050,14698,3863,2365,16,2009,3,8785,140,40.73333333,26,53,26,Male
1613,8565,4191,3622,8,2010,4,2761,7,39.83333333,32.25,18,19,Male
2881,5292,2179,544,2,2010,2,232,0,43.5,41.5,43,42,Male
1953,5357,1935,376,3,1983,2,1469,116,27.33333333,26,29,30,Male
2451,8081,1918,286,6,1987,4,3712,46,33.4,39.25,27,50,Male
1157,5705,1132,802,10,2003,4,3416,50,30.57142857,30.25,25,46,Male
1596,7462,1659,352,7,1997,2,4207,434,47,25,45,37,Male
1121,7369,2518,1531,6,1984,2,3730,235,38.16666667,37,23,37,Male
476,4155,1821,1615,7,2013,3,1858,1,50.16666667,37.5,27,51,Male
2702,8746,3246,915,9,1992,3,2798,1,44.5,19,35,27,Male
1338,8581,3782,2941,11,2001,3,3461,77,44.88888889,45,42,32,Male
1878,9986,5336,3808,7,1979,2,2772,367,50.71428571,30.5,42,30,Male
1696,7923,2273,1180,6,2013,5,3954,14,45.6,31,45,14,Male
2320,12940,6455,4135,7,2004,1,4165,55,40.66666667,69,48,69,Male
1378,10936,3136,1758,12,1992,1,6422,151,40.22222222,34,35,34,Male
731,3353,1516,1150,7,1988,3,1106,17,49.28571429,44.5,49,40,Male
2299,12056,4388,2924,7,1985,3,5369,37,34.33333333,21.5,23,18,Male
2155,5400,2931,776,2,1994,1,314,67,44.5,13,53,13,Male
1923,6630,3155,2181,2,2010,3,1552,58,41,45,25,32,Female
2891,5705,1552,597,5,2006,8,1262,7,45.2,39.42857143,33,31,Male
2852,8187,2638,691,6,2006,3,2697,79,50.5,22,43,34,Male
760,5605,3245,2862,4,1976,3,1600,102,39.25,29,34,24,Male
1193,11486,4993,4468,9,2007,5,5300,5,30.25,23.75,26,31,Male
1852,5832,1629,433,4,2003,3,2351,30,49.25,38.33333333,35,32,Male
685,4951,1965,1662,4,2012,3,2301,233,43.25,50.33333333,38,30,Male
1733,7164,1686,519,7,1987,2,3745,71,28.71428571,30.5,16,39,Male
859,3542,826,302,7,1997,3,1857,7,46.71428571,28.66666667,22,29,Male
2303,5875,2122,305,6,2000,3,1450,27,51,36.33333333,30,29,Male
3495,8954,2899,2241,9,2010,8,2560,1,49.28571429,39,34,55,Female
1856,7181,2690,2142,9,2004,7,2635,9,57,27.5,23,57,Female
693,5753,1348,1022,14,1996,3,3712,74,45,31,59,31,Male
1973,8614,4898,3636,4,1994,2,1743,212,51,40.5,38,32,Male
3692,7479,2798,2174,2,2004,7,989,120,34.5,24.85714286,18,26,Female
2595,5539,1258,431,4,2005,5,1686,77,49.5,39.2,26,46,Female
103,7267,1626,1523,11,1990,1,5538,56,29.09090909,26,31,26,Male
902,7440,2670,1768,10,2007,1,3868,61,47.66666667,47,46,47,Male
197,6581,1811,66,9,1998,2,4573,93,45.28571429,33,23,43,Female
1569,5129,727,43,12,1995,4,2833,75,30.45454545,29.75,52,28,Male
2088,12393,5176,1324,3,1996,4,5129,81,55,49.5,54,47,Female
5776,9221,1889,1176,4,2009,12,1556,1,60.25,37.41666667,51,61,Female
2182,8783,4630,2985,6,2002,4,1971,52,50.6,43.25,53,38,Male
627,3484,1851,1156,2,1996,4,1006,19,41.5,48.75,62,27,Female
3499,6292,1509,139,3,2008,4,1284,123,43,43.5,40,41,Male
1655,10085,3398,2126,12,1994,5,5032,34,43.90909091,31.5,14,42,Female
917,4319,1586,669,7,1991,1,1816,179,49.83333333,46,65,46,Male
339,2263,573,153,4,1987,3,1351,7,33.25,20.66666667,25,32,Female
2195,8330,2729,1200,8,2013,3,3406,18,60.66666667,81.33333333,43,84,Male
2956,6315,1927,715,2,2010,5,1432,2,27,37,25,27,Female
1139,5706,2987,2355,4,1994,4,1580,37,42.25,37,30,8,Female
1101,2879,659,11,5,1988,3,1119,104,25.75,18,20,19,Male
1611,4031,1072,308,5,1989,4,1348,48,28.4,31,29,23,Male
3206,7023,1660,205,8,1987,6,2157,99,29.125,31.83333333,33,23,Male
709,1368,529,148,2,1980,2,130,333,56,42,48,41,Male
2122,25432,14086,12921,21,1995,6,9224,27,51.05555556,39.5,58,39,Male
2042,4468,2222,1170,3,2009,2,204,1,30,44,19,39,Male
465,5504,3887,3676,6,2007,3,1152,44,39.5,41.5,45,30,Male
312,8229,3849,3537,10,2000,1,4068,73,45.66666667,42,39,42,Male
2671,10532,2967,1505,7,1982,3,4894,384,34.28571429,26,33,27,Male
2496,5174,2420,466,2,1981,2,258,372,67.5,59,76,74,Male
1939,10553,3954,2138,11,1954,2,4660,185,38.71428571,33.5,30,30,Male
1700,6449,2972,1880,6,1997,2,1777,10,41,30,49,32,Male
3234,11491,4735,2900,7,1994,4,3522,41,43,40.75,30,29,Female
160,9602,2302,2142,15,1995,1,7140,13,38.23076923,38,28,38,Male
238,8018,2766,860,9,1993,3,5014,212,53,26,26,39,Female
1860,10271,1887,1209,9,2012,6,6524,23,41.28571429,35.5,37,38,Male
1403,7844,2453,1050,10,1968,1,3988,172,43.7,46,45,46,Male
1156,5697,1386,1012,7,1972,4,3155,477,44.85714286,33.75,42,50,Male
1955,6332,2175,1007,5,2002,6,2202,15,52.6,37.6,30,41,Female
1292,9223,2430,1540,8,2006,2,5501,70,55.125,23,38,22,Male
1132,7769,2773,1850,13,2009,2,3864,112,47.54545455,36.5,46,34,Male
2313,10653,3045,1829,7,2000,4,5295,11,48.4,28.5,49,25,Male
951,12807,3297,2917,11,1994,3,8559,51,53.1,45.66666667,37,37,Male
1688,3808,1561,753,2,2010,3,559,2,32.5,45,42,62,Male
1054,7653,1813,759,10,2007,1,4786,260,51.71428571,43,38,43,Male
2897,8499,1901,637,6,2005,3,3701,39,34.6,30,34,26,Male
3211,8121,2711,549,6,2000,2,2199,5,36.5,49,29,68,Male
1748,5459,1870,906,8,2000,3,1841,52,59.28571429,34.5,40,30,Male
911,5942,3239,1848,4,2002,5,1792,193,38.66666667,29,34,28,Female
3172,9464,2323,280,10,1996,3,3969,91,33.5,38.66666667,22,17,Male
2474,9782,2641,1424,9,2002,4,4667,9,28.5,40.75,25,24,Male
2939,8131,3217,1047,5,1989,3,1975,45,31.4,19.66666667,23,19,Male
1190,8746,1805,519,9,2001,3,5751,109,35.88888889,28,25,55,Female
2932,7426,1565,695,4,1996,6,2929,202,33,24.75,23,26,Female
1138,6616,3694,2556,5,1989,1,1784,128,38.4,35,49,35,Male
603,8896,3931,2843,11,2010,3,4362,65,54.85714286,41,45,57,Female
1008,4912,2438,1572,5,2013,2,1466,1,27.66666667,17,29,17,Male
1116,7841,1571,1122,12,1985,4,5154,81,41.90909091,34.5,38,40,Male
1930,9383,3475,1732,5,1998,2,3978,30,44.75,34,43,34,Male
1047,5713,3095,2187,4,2009,2,1571,10,32.5,49,49,49,Male
1549,14822,4802,3811,10,1995,3,8471,16,40.875,36.33333333,56,51,Male
0,3081,1176,62,5,1977,1,1905,495,40,31,31,40,Female
793,4082,1481,392,2,2002,2,1808,22,39,35,33,33,Female
3737,14590,4448,1340,10,1959,4,6405,426,52,33.75,34,33,Male
1247,9087,3621,1310,5,2005,4,4219,42,43,46.75,37,42,Female
1072,4201,2246,1748,4,2010,3,883,69,28,49,28,24,Male
1131,8445,2794,1663,9,2000,1,4520,146,55.22222222,41,70,41,Male
1491,5710,1502,622,7,1979,3,2717,285,43.85714286,41.66666667,32,31,Male
1134,6665,2225,1404,11,1984,3,3306,197,49.1,55.66666667,53,28,Male
1852,9163,2823,1218,12,1986,2,4488,257,52.33333333,44.5,55,35,Male
532,6756,2044,1668,9,1989,2,4180,120,53.33333333,47,58,57,Male
1493,8970,2010,1441,10,1994,5,5467,157,50.4,38,54,39,Male
363,8254,2816,2453,10,1998,1,5075,130,46.4,43,58,43,Male
736,10041,3809,3329,8,2002,2,5496,64,49,40.5,62,47,Male
1290,6759,3441,2676,4,2005,3,2028,4,41.25,42,34,37,Male
3088,9650,3418,1511,5,2010,2,3144,1,54,46,67,35,Male
1781,5310,1470,505,5,2002,2,2059,96,30.8,45.5,41,46,Male
862,4867,1762,750,7,1980,4,2243,349,45.85714286,34.5,32,42,Female
2931,9697,2460,948,9,1983,6,4306,165,45.85714286,42.6,43,31,Male
2001,6304,2391,1249,8,1987,2,1912,34,44.42857143,32.5,57,26,Male
500,7993,2875,503,6,2007,4,4618,66,41,29,41,44,Female
3408,8507,4166,900,4,2001,2,933,38,48.25,30,37,26,Male
1331,4360,1530,199,4,1991,1,1499,423,37,35,14,35,Male
1015,5681,2586,1944,7,1983,4,2080,298,28.5,28,28,28,Female
973,7474,4142,3295,6,1981,2,2359,13,45.33333333,46,41,38,Male
1891,12355,2792,185,13,1997,6,7672,1249,42.6,48.33333333,22,23,Female
2716,11944,3774,1540,7,2010,2,5454,101,47.5,25.5,38,28,Male
2429,9545,2159,1054,10,2010,6,4957,457,66.33333333,42.5,54,48,Male
707,10944,6117,5568,8,1989,2,4120,19,38.625,31,42,31,Male
111,1522,677,566,4,2010,1,734,331,26.25,22,24,22,Male
1036,16854,6542,2986,10,2009,6,9276,344,28.9,22.6,19,17,Female
1691,9357,1932,721,14,1992,8,5734,8,38,31.14285714,25,36,Female
5067,11042,4103,1093,5,2009,6,1872,10,34.5,37.4,30,37,Male
150,7598,3875,2433,4,2008,2,3573,34,31.66666667,51.5,43,42,Female
303,3152,2099,1751,4,1996,3,750,100,41.5,38.66666667,38,48,Female
1037,6157,1652,622,7,1998,3,3468,70,40,31.66666667,23,27,Female
325,11647,3223,2898,10,1995,1,8099,46,39,33,36,33,Male
235,3547,713,106,9,2008,2,2599,87,44.71428571,49,59,54,Female
4734,11824,3302,406,4,2008,3,3788,28,42,36.33333333,39,26,Male
628,3118,1043,346,4,2004,3,1447,159,39,33.33333333,23,30,Female
105,6919,3296,1416,2,2011,2,3518,1,32.5,51,51,46,Female
1431,5451,1604,849,5,2009,3,2416,89,38,45.33333333,12,55,Male
3239,7460,2522,1940,4,2009,7,1699,15,39.5,31.5,22,35,Female
1115,8369,3499,2907,6,1988,2,3755,325,49.2,38.5,46,34,Male
1217,5426,1969,1228,6,2010,6,2240,7,48.5,34.25,20,51,Female
682,3570,758,366,8,2003,3,2130,310,42.875,23,57,37,Male
1527,8610,4792,3984,6,1974,3,2291,401,47.25,29.5,41,27,Male
1611,10931,3976,2350,9,2009,4,5344,12,46,37.25,26,28,Female
4567,8394,2981,2657,4,1995,6,846,46,34.66666667,35.5,40,42,Female
2516,8589,4034,3124,5,1985,4,2039,7,43.6,41.75,39,39,Male
2787,6890,2303,103,7,1990,4,1800,1,42,30.5,36,24,Male
1842,4252,732,127,7,2005,4,1678,396,36.42857143,30,18,10,Male
1289,6103,2261,1144,4,1999,5,2553,22,27,36,41,48,Female
3621,6579,1671,246,4,1996,4,1287,43,43,33.5,35,24,Male
1729,8236,4846,3289,6,1991,2,1661,184,35.4,46,46,45,Male
4362,8090,1737,503,4,2003,7,1991,16,41.25,36.33333333,43,33,Male
1384,14523,5399,4670,11,1998,3,7740,56,41.1,31.33333333,28,34,Male
681,3753,1410,873,5,1994,2,1662,23,42.75,35.5,56,34,Male
1381,3157,1275,975,2,1998,4,501,86,32.5,31.5,34,39,Female
1042,4833,1133,501,6,1987,3,2658,84,49.66666667,32.66666667,34,25,Male
1241,6699,2498,1853,6,2003,2,2960,1,44.83333333,30,44,20,Male
2691,9293,3663,1706,4,1988,5,2939,135,40.75,33,31,46,Female
0,6375,1644,91,8,2014,1,4731,6,56.16666667,37,37,67,Female
3140,13732,5140,2247,6,2010,3,5452,3,58.5,56,54,61,Female
4167,11600,4053,3070,6,2013,6,3380,40,56.5,42.66666667,64,42,Female
7250,15227,6902,352,4,2013,3,1075,8,48.33333333,56,43,44,Male
3023,8815,3300,2417,4,2014,5,2492,45,48.33333333,43,63,26,Male
5713,16388,4648,1820,10,2014,8,6027,27,31,26.25,44,46,Male
272,8699,4353,4081,14,2015,1,4074,74,58.75,47,59,47,Male
3189,9881,3407,1907,5,2015,11,3285,31,41,33.75,21,25,Female
1952,8483,3683,2776,5,2015,4,2848,5,60.6,46.33333333,75,57,Male
401,9975,2574,1379,12,2014,3,7000,4,33.66666667,27.5,31,29,Female
2740,5993,2933,2613,1,2013,8,320,18,40,42.25,52,40,Female
638,4111,1209,792,4,2015,2,2264,12,34.5,24.5,30,23,Male
264,7202,4909,4645,6,2014,1,2029,32,42,49,38,49,Male
2790,7574,4119,3454,1,2015,6,665,7,71,46.33333333,76,71,Female
3558,5600,1564,442,3,2012,5,478,6,54.5,43.25,62,48,Male
3149,8722,4021,2801,3,2015,6,1552,7,52.5,66.33333333,72,33,Female
240,6773,1596,627,11,2014,2,4937,97,42.625,28,29,68,Female
3266,7627,4361,2155,1,2014,5,0,1,47,61,47,36,Male
2515,4907,1137,669,4,2014,8,1255,136,26,48.28571429,31,34,Female
2031,6855,2805,1815,3,2015,4,2019,367,50.66666667,48.5,44,59,Female
827,8935,5512,4804,5,2013,2,2596,1,31.4,33.5,36,31,Male
617,3629,2447,2219,3,2014,4,565,3,52,44,55,50,Female
2296,8278,2315,920,10,2014,5,3667,2,48,51,61,50,Male
1274,5360,2999,1725,6,2006,1,1087,1,35.5,35,30,35,Male
2373,9699,5388,4024,5,2015,3,1938,6,29.8,35,24,22,Male
5433,11345,4172,3301,2,2015,6,1740,2,38,36.8,32,38,Female
3117,8417,3172,1599,11,2014,6,2128,4,55.83333333,57.4,57,63,Male
2094,10089,6152,4840,5,2014,3,1843,34,42,60,34,60,Male
752,4184,1636,1191,7,2014,2,1796,2,49.2,38.5,46,32,Male
3380,6548,1890,907,3,2010,7,1278,4,42,55.8,51,50,Female
1843,11207,4401,2558,9,2012,1,4963,8,48,55,42,55,Male
1120,7882,3838,1950,5,2015,4,2924,10,43,43.25,26,9,Female
867,1371,318,132,1,2012,4,186,15,32,23.25,24,32,Female
1924,7134,2694,1671,5,2014,4,2516,46,48.66666667,51,64,44,Male
4711,20347,10443,7446,6,2015,3,5193,18,45,31,38,40,Male
1688,5886,1751,795,7,2015,4,2447,4,50.4,39.75,30,60,Female
639,3832,1870,1231,3,2010,1,1323,39,60,35,49,35,Male
1679,8020,3283,1886,6,2014,7,3058,1,30.4,41.71428571,26,28,Female
0,3906,1084,23,6,2014,1,2822,54,39.5,16,16,15,Female
873,5892,2664,2116,3,2013,2,2355,200,38,70.5,49,54,Male
2130,9212,4457,2756,3,2015,5,2625,1,46.5,33.33333333,23,39,Female
724,12719,5998,5274,12,2014,1,5997,35,54.5,65,43,65,Male
1730,10392,3647,2641,5,2013,3,5015,155,46.75,29.33333333,38,28,Male
1220,4934,2831,2534,4,2015,8,883,0,54.66666667,62,81,66,Female
1449,9388,1568,1123,14,2015,7,6371,62,45,40,41,51,Male
1694,5793,1894,396,9,2014,2,2205,38,42.5,35.5,32,31,Male
849,11542,3692,1760,14,2015,4,7001,2,57.1,46.25,46,79,Female
1499,9848,4480,3436,7,2014,2,3869,8,46.6,34.5,49,29,Male
4796,11481,3767,290,11,2015,4,2918,34,50.36363636,50.5,39,70,Male
1741,7074,3475,1852,4,2012,2,1858,206,42.33333333,37.5,47,42,Male
1287,8345,3262,2113,7,2015,2,3796,2,55.16666667,36,76,45,Male
1294,8545,2208,1134,8,1997,2,5043,187,45.875,36.5,34,27,Male
704,2402,1224,973,3,1998,4,474,158,37.33333333,27.33333333,49,38,Male
1892,4541,1079,423,4,1959,4,1570,880,52.75,56.75,69,46,Female
1225,3963,1159,621,4,1999,3,1579,292,53,39.33333333,29,39,Female
179,4589,2130,1951,3,1999,1,2280,241,25,65,26,65,Male
699,5732,2151,1452,6,2001,1,2882,222,31.83333333,21,28,21,Male
1301,5708,1471,549,6,1996,2,2936,196,49.5,60,63,34,Male
1191,7585,2454,2027,10,1998,3,3940,12,35,31.66666667,29,24,Male
1095,12304,4545,3999,10,1999,3,6664,234,47.4,49.33333333,43,38,Male
1044,8412,5463,4835,7,1997,3,1905,109,47.33333333,47,45,37,Male
2035,10342,3755,2047,7,2004,2,4552,140,45.5,41.5,74,30,Male
1765,7362,2405,1728,9,1984,5,3192,13,41.14285714,31.75,41,23,Male
1512,9053,3160,1760,8,1949,2,4381,8,45.5,54.5,44,28,Male
946,6614,2081,1135,6,1958,1,3587,38,52.33333333,31,43,31,Male
406,1351,789,383,2,2015,1,156,81,49,39,49,39,Male
583,8983,3406,2823,5,2013,1,4994,80,55.6,38,42,38,Male
4864,9261,3590,451,4,2014,2,807,51,45.75,42,41,40,Male
250,2360,789,539,4,2011,1,1321,50,53,55,62,55,Male
1575,8617,4893,3759,4,2006,3,2149,181,43.25,28.33333333,40,33,Male
1042,8174,3058,2016,6,2013,1,4074,128,46.83333333,37,35,37,Male
487,6917,3229,2877,8,2013,2,3201,114,41.83333333,46.5,57,54,Male
674,7421,3044,222,3,2011,3,3703,61,48,34.33333333,28,30,Female
1702,8266,4565,3220,5,2014,2,1999,97,50.5,50,51,37,Male
2086,6134,1775,561,4,2006,4,2273,97,36.25,37.25,15,16,Male
305,10665,4392,4087,13,2013,1,5968,9,33.16666667,27,44,27,Male
1109,4461,1513,917,6,2012,4,1839,46,39.6,29.75,37,35,Female
2453,8622,2121,14,5,2012,5,4048,26,45.2,39.25,23,38,Female
2019,7618,1560,769,6,2011,3,4039,156,42,32.66666667,47,27,Male
1858,7149,2536,1840,7,2013,5,2755,75,45.42857143,35.75,49,29,Male
1229,7368,3376,2805,10,2006,3,2763,196,49.16666667,36.66666667,39,32,Male
999,3951,1146,147,5,2010,1,1806,74,49,35,47,35,Male
1748,8036,2065,656,10,2013,2,4223,78,50.33333333,25,33,36,Male
2276,9351,3422,2209,9,2014,3,3653,200,49.88888889,34.33333333,45,32,Male
899,1986,974,288,2,1995,2,113,214,61.5,46,42,61,Male
127,1726,1232,1105,3,1981,1,367,194,48.66666667,33,54,33,Male
303,2398,1334,1166,5,1973,2,761,174,43.2,31,46,24,Male
632,8404,1952,187,6,1992,2,5820,172,37.16666667,24,21,34,Female
1326,2750,877,356,2,2000,3,547,53,27.5,27.66666667,28,25,Male
462,3994,775,52,8,1996,3,2757,32,42.85714286,38.5,29,32,Female
2735,11946,3410,1536,13,2007,4,5801,32,44.09090909,50,38,48,Male
